iter	Passed	Remaining
446	3013	3728
447	3020	3722
448	3027	3715
449	3033	3708
450	3040	3701
451	3047	3694
452	3054	3688
453	3061	3681
454	3067	3674
455	3074	3667
456	3081	3661
457	3088	3654
458	3094	3647
459	3101	3640
460	3107	3633
461	3114	3626
462	3120	3619
463	3127	3612
464	3134	3606
465	3141	3599
466	3147	3592
467	3154	3586
468	3161	3579
469	3167	3572
470	3174	3565
471	3180	3558
472	3187	3551
473	3194	3544
474	3201	3538
475	3208	3531
476	3214	3524
477	3220	3517
478	3227	3510
479	3234	3503
480	3240	3496
481	3246	3489
482	3253	3482
483	3260	3475
484	3266	3468
485	3273	3462
486	3280	3455
487	3286	3448
488	3293	3441
489	3299	3434
490	3306	3428
491	3313	3421
492	3320	3414
493	3327	3407
494	3333	3401
495	3340	3394
496	3346	3387
497	3353	3380
498	3359	3373
499	3366	3366
500	3372	3359
501	3379	3352
502	3385	3345
503	3392	3338
504	3398	3331
505	3405	3324
506	3412	3317
507	3419	3311
508	3426	3304
509	3432	3297
510	3439	3291
511	3445	3284
512	3452	3277
513	3458	3270
514	3465	3263
515	3472	3256
516	3478	3249
517	3485	3242
518	3491	3236
519	3498	3229
520	3504	3222
521	3511	3215
522	3517	3208
523	3524	3201
524	3531	3194
525	3537	3188
526	3544	3181
527	3551	3174
528	3558	3168
529	3564	3161
530	3571	3154
531	3578	3147
532	3584	3141
533	3591	3134
534	3598	3127
535	3605	3120
536	3611	3114
537	3618	3107
538	3624	3100
539	3631	3093
540	3638	3087
541	3645	3080
542	3652	3073
543	3658	3066
544	3665	3060
545	3671	3053
546	3678	3046
547	3685	3039
548	3691	3032
549	3698	3025
550	3705	3019
551	3712	3012
552	3718	3005
553	3725	2998
554	3731	2992
555	3738	2985
556	3744	2978
557	3751	2971
558	3758	2964
559	3764	2958
560	3771	2951
561	3777	2944
562	3784	2937
563	3790	2930
564	3797	2923
565	3804	2916
566	3810	2909
567	3817	2903
568	3824	2896
569	3830	2889
570	3837	2883
571	3844	2876
572	3850	2869
573	3857	2862
574	3864	2856
575	3871	2849
576	3877	2842
577	3884	2835
578	3891	2829
579	3899	2823
580	3906	2817
581	3914	2811
582	3921	2804
583	3928	2798
584	3935	2791
585	3941	2784
586	3949	2778
587	3955	2771
588	3962	2765
589	3969	2758
590	3976	2751
591	3982	2744
592	3989	2737
593	3995	2731
594	4002	2724
595	4009	2718
596	4016	2711
597	4022	2704
598	4029	2697
599	4036	2690
600	4043	2684
601	4049	2677
602	4056	2670
603	4063	2663
604	4069	2657
605	4075	2650
606	4082	2643
607	4088	2636
608	4095	2629
609	4102	2622
610	4108	2615
611	4115	2609
612	4122	2602
613	4129	2595
614	4135	2589
615	4142	2582
616	4149	2575
617	4156	2569
618	4162	2562
619	4169	2555
620	4175	2548
621	4182	2541
622	4188	2534
623	4195	2528
624	4201	2521
625	4208	2514
626	4215	2507
627	4222	2501
628	4229	2494
629	4236	2487
630	4243	2481
631	4249	2474
632	4256	2467
633	4263	2461
634	4269	2454
635	4276	2447
636	4283	2441
637	4290	2434
638	4296	2427
639	4303	2420
640	4309	2413
641	4316	2407
642	4322	2400
643	4329	2393
644	4336	2386
645	4342	2379
646	4349	2372
647	4355	2366
648	4362	2359
649	4368	2352
650	4375	2345
651	4382	2339
652	4389	2332
653	4396	2325
654	4402	2319
655	4409	2312
656	4415	2305
657	4422	2298
658	4429	2291
659	4436	2285
660	4443	2278
661	4449	2272
662	4456	2265
663	4462	2258
664	4469	2251
665	4476	2245
666	4483	2238
667	4490	2231
668	4496	2224
669	4503	2218
670	4510	2211
671	4516	2204
672	4523	2197
673	4530	2191
674	4536	2184
675	4543	2177
676	4551	2171
677	4558	2164
678	4565	2158
679	4572	2151
680	4578	2144
681	4585	2138
682	4592	2131
683	4599	2124
684	4605	2118
685	4612	2111
686	4619	2104
687	4625	2097
688	4632	2090
689	4639	2084
690	4645	2077
691	4652	2070
692	4659	2064
693	4665	2057
694	4672	2050
695	4679	2043
696	4686	2037
697	4693	2030
698	4700	2023
699	4706	2017
700	4713	2010
701	4720	2003
702	4726	1997
703	4733	1990
704	4740	1983
705	4747	1976
706	4753	1970
707	4760	1963
708	4767	1956
709	4773	1949
710	4780	1943
711	4787	1936
712	4793	1929
713	4800	1923
714	4807	1916
715	4814	1909
716	4821	1902
717	4828	1896
718	4834	1889
719	4841	1882
720	4848	1875
721	4854	1869
722	4861	1862
723	4868	1855
724	4875	1849
725	4883	1843
726	4890	1836
727	4898	1830
728	4905	1823
729	4912	1816
730	4919	1810
731	4926	1803
732	4932	1796
733	4939	1789
734	4945	1783
735	4952	1776
736	4958	1769
737	4965	1762
738	4971	1755
739	4978	1749
740	4985	1742
741	4991	1735
742	4998	1728
743	5004	1722
744	5011	1715
745	5017	1708
746	5024	1701
747	5031	1694
748	5037	1688
749	5043	1681
750	5050	1674
751	5057	1667
752	5064	1661
753	5071	1654
754	5078	1647
755	5084	1641
756	5091	1634
757	5098	1627
758	5105	1620
759	5111	1614
760	5117	1607
761	5124	1600
762	5131	1593
763	5137	1587
764	5144	1580
765	5150	1573
766	5157	1566
767	5164	1560
768	5171	1553
769	5177	1546
770	5184	1539
771	5190	1533
772	5197	1526
773	5204	1519
774	5211	1513
775	5218	1506
776	5225	1499
777	5231	1492
778	5238	1486
779	5244	1479
780	5251	1472
781	5258	1465
782	5265	1459
783	5272	1452
784	5278	1445
785	5284	1438
786	5291	1432
787	5298	1425
788	5305	1418
789	5311	1411
790	5318	1405
791	5324	1398
792	5331	1391
793	5337	1384
794	5343	1377
795	5350	1371
796	5356	1364
797	5363	1357
798	5370	1351
799	5376	1344
800	5383	1337
801	5390	1330
802	5397	1324
803	5404	1317
804	5410	1310
805	5417	1303
806	5424	1297
807	5430	1290
808	5437	1283
809	5444	1277
810	5450	1270
811	5457	1263
812	5464	1256
813	5471	1250
814	5478	1243
815	5485	1236
816	5492	1230
817	5499	1223
818	5505	1216
819	5512	1210
820	5519	1203
821	5525	1196
822	5532	1189
823	5538	1183
824	5545	1176
825	5552	1169
826	5558	1162
827	5565	1156
828	5572	1149
829	5579	1142
830	5586	1136
831	5592	1129
832	5599	1122
833	5605	1115
834	5613	1109
835	5619	1102
836	5626	1095
837	5633	1088
838	5639	1082
839	5646	1075
840	5653	1068
841	5659	1062
842	5666	1055
843	5673	1048
844	5679	1041
845	5686	1035
846	5693	1028
847	5699	1021
848	5706	1014
849	5712	1008
850	5719	1001
851	5725	994
852	5732	987
853	5738	981
854	5745	974
855	5751	967
856	5758	960
857	5764	954
858	5771	947
859	5778	940
860	5784	933
861	5791	927
862	5798	920
863	5804	913
864	5811	907
865	5818	900
866	5825	893
867	5834	887
868	5842	880
869	5850	874
870	5858	867
871	5866	861
872	5874	854
873	5882	848
874	5890	841
875	5899	835
876	5907	828
877	5915	821
878	5922	815
879	5929	808
880	5936	801
881	5943	795
882	5950	788
883	5956	781
884	5963	774
885	5969	768
886	5976	761
887	5982	754
888	5989	747
889	5996	741
890	6003	734
891	6009	727
892	6016	720
893	6023	714
894	6030	707
895	6036	700
896	6043	693
897	6050	687
898	6056	680
899	6063	673
900	6070	667
901	6077	660
902	6083	653
903	6090	646
904	6097	640
905	6104	633
906	6111	626
907	6117	619
908	6124	613
909	6131	606
910	6137	599
911	6144	592
912	6150	586
913	6157	579
914	6164	572
915	6171	565
916	6178	559
917	6184	552
918	6191	545
919	6198	538
920	6204	532
921	6211	525
922	6218	518
923	6225	512
924	6231	505
925	6238	498
926	6245	491
927	6252	485
928	6258	478
929	6265	471
930	6272	464
931	6279	458
932	6286	451
933	6292	444
934	6299	437
935	6305	431
936	6312	424
937	6319	417
938	6325	410
939	6332	404
940	6338	397
941	6345	390
942	6352	383
943	6358	377
944	6365	370
945	6371	363
946	6378	356
947	6385	350
948	6391	343
949	6398	336
950	6404	330
951	6411	323
952	6418	316
953	6424	309
954	6431	303
955	6437	296
956	6444	289
957	6451	282
958	6457	276
959	6464	269
960	6471	262
961	6478	255
962	6487	249
963	6494	242
964	6500	235
965	6507	229
966	6513	222
967	6520	215
968	6527	208
969	6533	202
970	6540	195
971	6546	188
972	6553	181
973	6559	175
974	6566	168
975	6573	161
976	6579	154
977	6586	148
978	6593	141
979	6599	134
980	6605	127
981	6611	121
982	6618	114
983	6625	107
984	6631	100
985	6637	94
986	6644	87
987	6650	80
988	6657	74
989	6664	67
990	6671	60
991	6678	53
992	6684	47
993	6691	40
994	6698	33
995	6705	26
996	6711	20
997	6718	13
998	6724	6
999	6731	0
