iter	Logloss
457	0.1458599323
458	0.145772953
459	0.1457587363
460	0.1457089661
461	0.1456608488
462	0.1456139403
463	0.1455756089
464	0.1455083654
465	0.1454629292
466	0.1454456307
467	0.1454246523
468	0.1453494834
469	0.1453010548
470	0.1452844222
471	0.1452378991
472	0.1451704417
473	0.1451186213
474	0.1450537341
475	0.1449622695
476	0.1449221368
477	0.1448566386
478	0.1448215018
479	0.14478973
480	0.1447508153
481	0.1446823914
482	0.1446495544
483	0.1446015564
484	0.1445310856
485	0.1444544044
486	0.1443957096
487	0.1443648077
488	0.1443217467
489	0.1442579412
490	0.144213274
491	0.1441962529
492	0.1441821657
493	0.1441146878
494	0.1440776867
495	0.1440347608
496	0.1439893494
497	0.1439189028
498	0.1439014343
499	0.1438305583
500	0.1438024395
501	0.1437384138
502	0.1437096649
503	0.1436497582
504	0.1435528308
505	0.1434757762
506	0.143456275
507	0.143439306
508	0.1433656768
509	0.1433510407
510	0.1433263343
511	0.1432839715
512	0.1432132699
513	0.1431402963
514	0.1430656596
515	0.1430492081
516	0.1430104717
517	0.1429971541
518	0.142976638
519	0.1429266317
520	0.1428948349
521	0.1428466252
522	0.1427898325
523	0.142752243
524	0.142673052
525	0.142610223
526	0.1425608036
527	0.1425020269
528	0.1424406485
529	0.1423827708
530	0.1423270881
531	0.1422866922
532	0.1422358401
533	0.1422126313
534	0.1421215816
535	0.1420465308
536	0.1419951965
537	0.1419649414
538	0.1419099346
539	0.1418309275
540	0.1417853889
541	0.1417576235
542	0.1417094773
543	0.1416643396
544	0.1415901677
545	0.1415339686
546	0.1414765976
547	0.1414452753
548	0.1414186624
549	0.14138464
550	0.1413681057
551	0.1413569612
552	0.1413060508
553	0.1412572305
554	0.1411872344
555	0.1411288711
556	0.1410869942
557	0.1410732382
558	0.1410447293
559	0.1409816052
560	0.1409060965
561	0.140852416
562	0.1408173168
563	0.1407691937
564	0.1406984023
565	0.1406512531
566	0.1406013015
567	0.1405260572
568	0.140486933
569	0.1404365102
570	0.1403570391
571	0.1402948978
572	0.1402331768
573	0.140166141
574	0.1401203962
575	0.140046462
576	0.1399978912
577	0.1399400057
578	0.1399147442
579	0.1398575857
580	0.1398290455
581	0.1397679916
582	0.1397336395
583	0.1396870844
584	0.1396446742
585	0.1396032529
586	0.139563903
587	0.1394920677
588	0.1394351827
589	0.1393893282
590	0.1393603918
591	0.1393105886
592	0.1392552195
593	0.1392273519
594	0.1391955604
595	0.1391401397
596	0.1390866089
597	0.1390309081
598	0.1389549831
599	0.1389103077
600	0.1388585616
601	0.1387906662
602	0.1387541668
603	0.1386968699
604	0.1386709894
605	0.1386308781
606	0.1385974837
607	0.1385501674
608	0.13848379
609	0.1384640013
610	0.138410918
611	0.1383520914
612	0.1383233457
613	0.1382923694
614	0.138210257
615	0.1381624834
616	0.138106443
617	0.1380319862
618	0.1379878639
619	0.1379183356
620	0.1378904457
621	0.137832107
622	0.1377998711
623	0.1377325659
624	0.1376876559
625	0.1376474972
626	0.1375830799
627	0.1375407297
628	0.1375080478
629	0.1374547789
630	0.137430627
631	0.1373808581
632	0.1373496397
633	0.1373252539
634	0.1372855104
635	0.1372182547
636	0.137184062
637	0.1371041829
638	0.137068437
639	0.1370433091
640	0.1370071671
641	0.1369607018
642	0.1369290167
643	0.1368899758
644	0.1368447859
645	0.136778483
646	0.1367208434
647	0.1366580178
648	0.1366115374
649	0.1365704074
650	0.1365255877
651	0.1364515923
652	0.136434765
653	0.1363937346
654	0.13636808
655	0.1363258116
656	0.1362674949
657	0.1362268819
658	0.1361863237
659	0.1361536083
660	0.1361104288
661	0.136086116
662	0.1360128373
663	0.1359723146
664	0.1359547196
665	0.1358986409
666	0.1358601877
667	0.1357998205
668	0.1357488402
669	0.1357223006
670	0.1356998354
671	0.1356602622
672	0.1356114553
673	0.1355562341
674	0.1355099023
675	0.135467231
676	0.1354034888
677	0.1353622219
678	0.1352776538
679	0.1352203825
680	0.1351655516
681	0.1351209164
682	0.1350701202
683	0.135002816
684	0.1349476197
685	0.1348931279
686	0.134844714
687	0.134796636
688	0.1347267203
689	0.1346931127
690	0.1346355748
691	0.1345825646
692	0.134546471
693	0.1345206388
694	0.1344250285
695	0.1343767955
696	0.1343227604
697	0.1342852189
698	0.1342559687
699	0.1342118512
700	0.1341697329
701	0.1341009757
702	0.1340629688
703	0.1340168077
704	0.1339715779
705	0.1339427325
706	0.1339188171
707	0.1338452085
708	0.1338199169
709	0.1337674006
710	0.1337298314
711	0.1336823616
712	0.1336530196
713	0.1335801016
714	0.1335681984
715	0.133515437
716	0.1334863699
717	0.133459719
718	0.133430846
719	0.1334012903
720	0.1333284067
721	0.1332898999
722	0.1332304134
723	0.1332080704
724	0.13317949
725	0.1331497042
726	0.1331330099
727	0.1330928167
728	0.1330313361
729	0.1330005142
730	0.1329328637
731	0.1328656329
732	0.1328246595
733	0.1327790748
734	0.1327364816
735	0.132697138
736	0.1326116975
737	0.1325718931
738	0.1325314859
739	0.1324806289
740	0.1324456953
741	0.1324038207
742	0.1323701366
743	0.1323140761
744	0.1322708994
745	0.1322378183
746	0.1322171615
747	0.1321770536
748	0.1321393655
749	0.1321006725
750	0.1320570483
751	0.1320409868
752	0.13202965
753	0.1319794538
754	0.1319336829
755	0.1319224174
756	0.1318998228
757	0.1318617314
758	0.1317944626
759	0.131737114
760	0.1316552042
761	0.1316077589
762	0.1315326252
763	0.1315212075
764	0.1315105962
765	0.1314729743
766	0.1314314991
767	0.1313692558
768	0.1313251795
769	0.1312938636
770	0.1312502429
771	0.1312052678
772	0.1311855245
773	0.1311662757
774	0.1311337008
775	0.1310707477
776	0.1310331504
777	0.1309889653
778	0.1309473052
779	0.130906179
780	0.1308808913
781	0.1308430878
782	0.1307872081
783	0.1307673294
784	0.1307111066
785	0.1306685453
786	0.130635698
787	0.1305979257
788	0.130555678
789	0.1305172439
790	0.1304855532
791	0.1304706358
792	0.1304395112
793	0.1303822338
794	0.1303590952
795	0.1303120712
796	0.1302797768
797	0.1302533434
798	0.1302279817
799	0.1301692151
800	0.1301403925
801	0.1301118158
802	0.1300972135
803	0.1300829846
804	0.130051155
805	0.1300298847
806	0.1300087156
807	0.1299307413
808	0.1298948779
809	0.1298646789
810	0.1298273331
811	0.1297803481
812	0.1297511491
813	0.1297040052
814	0.1296902015
815	0.1296508114
816	0.1296259477
817	0.1295741145
818	0.129505172
819	0.1294811955
820	0.1294378747
821	0.1293780449
822	0.1293574051
823	0.1292985236
824	0.1292574916
825	0.129232063
826	0.129200271
827	0.1291751949
828	0.1291258154
829	0.1290891468
830	0.1290522842
831	0.1290063632
832	0.1289416746
833	0.128880996
834	0.1288495735
835	0.1288122333
836	0.1287671878
837	0.1287300796
838	0.1286838083
839	0.1286443745
840	0.1285923016
841	0.1285393212
842	0.1284922361
843	0.1284435156
844	0.1283872676
845	0.1283351572
846	0.1283078851
847	0.1282877007
848	0.128257837
849	0.1282365739
850	0.1282032122
851	0.128169893
852	0.1281440787
853	0.1281251639
854	0.1280985032
855	0.1280826748
856	0.1280615032
857	0.1280345772
858	0.1280122261
859	0.1279971636
860	0.1279715427
861	0.1279523327
862	0.1279194209
863	0.1278741743
864	0.1278628428
865	0.127845667
866	0.127810204
867	0.1277714171
868	0.127733754
869	0.1276963602
870	0.1276730465
871	0.1276408489
872	0.1276231355
873	0.1275940937
874	0.1275674787
875	0.1275219756
876	0.1274974475
877	0.1274611412
878	0.1274357207
879	0.1274122991
880	0.1273935012
881	0.127349282
882	0.127313914
883	0.1272864558
884	0.127261333
885	0.1272271337
886	0.1271831732
887	0.1271391489
888	0.1271012086
889	0.1270490645
890	0.1270307129
891	0.127002545
892	0.1269887202
893	0.1269353775
894	0.1269094095
895	0.1268680379
896	0.1268528039
897	0.1268063558
898	0.1267728976
899	0.1267450174
900	0.1267301179
901	0.1266806317
902	0.1266342481
903	0.1265980763
904	0.126561828
905	0.1265389598
906	0.1265221941
907	0.1264920581
908	0.1264369772
909	0.1264281154
910	0.1263984115
911	0.1263312994
912	0.1262998019
913	0.1262599329
914	0.1262072437
915	0.1261843743
916	0.1261258931
917	0.1260777237
918	0.1260051375
919	0.1259876644
920	0.1259495689
921	0.1258952429
922	0.1258284671
923	0.1257598702
924	0.1257369871
925	0.1256784193
926	0.1256567458
927	0.1256267182
928	0.125606327
929	0.1255691806
930	0.1255200476
931	0.1254703258
932	0.125428947
933	0.1253769853
934	0.1253472348
935	0.1252886258
936	0.125249717
937	0.1252009342
938	0.1251572333
939	0.1251311108
940	0.1250976034
941	0.1250525916
942	0.1250062367
943	0.1249641004
944	0.1249395959
945	0.1248955774
946	0.124844334
947	0.1248036013
948	0.1247408212
949	0.1247069117
950	0.124660202
951	0.1246124074
952	0.1245737931
953	0.1245194412
954	0.1244740698
955	0.124438099
956	0.1244066661
957	0.1243792652
958	0.1243382279
959	0.1243112711
960	0.1242908588
961	0.1242614525
962	0.1242042568
963	0.12417559
964	0.1241335543
965	0.1240998808
966	0.1240625712
967	0.1240034245
968	0.123952061
969	0.1239119909
970	0.1238858873
971	0.1238371108
972	0.1238194908
973	0.1237705366
974	0.1237462201
975	0.1237220691
976	0.1237036883
977	0.1236748272
978	0.1236371385
979	0.123618534
980	0.1236008974
981	0.1235847709
982	0.1235349257
983	0.1235031532
984	0.123484448
985	0.1234423137
986	0.1234003306
987	0.1233709361
988	0.1233439112
989	0.1233263256
990	0.1232911433
991	0.1232499982
992	0.1232111652
993	0.1232018864
994	0.1231745524
995	0.1231510368
996	0.1231367322
997	0.1231009562
998	0.1230616492
999	0.1230423549
